0
"56259489ed6e5a0005c80fde, 0.0, 0"
"58bef6fd31de840001e84ba0, 4.72, 885"
"5c00043a6d931200019bcb9b, 4.165, 833"
"5c0bac19796adb00017dffcf, 4.645, 871"
"5daa50967776b10016e1bc9b, 2.956, 507"
"5f51587f36e91f38fbf34c23, 4.652, 866"
"5fd663588215d7567e027d5b, 4.727, 884"
"607c5af095d4f618fc21a1d1, 3.865, 767"
"60a6a76aca6c98b970de90f2, 4.395, 824"
"60f06a479c4f3ec0a536d40a, 1.674, 829"
"60fc189df1dcc953f098ab5e, 1.737, 683"
"60fd093548ae24bc1a355bf7, 3.875, 781"
"610d42ce297f0c4f3542f0c8, 0.581, 223"
"614dc3a3eb1768cb811daeae, 1.285, 626"
"61743b31d0f9de288cc272e6, 1.754, 871"
"628781515f29a0394e23b15b, 4.4, 881"
"63ee65e3470c23cb401ca89a, 4.215, 837"
"63fe16762b4c19bea77a0904, 3.405, 607"
"6473924c2cae5ee4db5082d2, 4.74, 887"
"65492662e16ad03ea732fd62, 0.006, 2"
"656851e04160e3d805b2abb5, 4.553, 846"
